Date,fx_kes_usd,fuel_price_usd,inflation_rate,interest_rate
2023-04-11,133.5,79.54000091552734,7.67139634029402,8.029980276230608
2023-04-12,132.75,79.54000091552734,7.67139634029402,8.029980276230608
2023-04-13,133.0,79.54000091552734,7.67139634029402,8.029980276230608
2023-04-14,134.3000030517578,79.54000091552734,7.67139634029402,8.029980276230608
2023-04-17,133.5500030517578,79.54000091552734,7.67139634029402,8.029980276230608
2023-04-18,133.75,79.54000091552734,7.67139634029402,8.029980276230608
2023-04-19,134.89999389648438,79.54000091552734,7.67139634029402,8.029980276230608
2023-04-20,134.1999969482422,79.54000091552734,7.67139634029402,8.029980276230608
2023-04-21,134.35000610351562,79.54000091552734,7.67139634029402,8.029980276230608
2023-04-24,134.35000610351562,79.54000091552734,7.67139634029402,8.029980276230608
2023-04-25,132.4283905029297,79.54000091552734,7.67139634029402,8.029980276230608
2023-04-26,134.64999389648438,79.54000091552734,7.67139634029402,8.029980276230608
2023-04-27,135.75,79.54000091552734,7.67139634029402,8.029980276230608
2023-04-28,135.8000030517578,79.54000091552734,7.67139634029402,8.029980276230608
2023-05-01,135.0,72.66000366210938,7.67139634029402,8.029980276230608
2023-05-02,135.89999389648438,72.66000366210938,7.67139634029402,8.029980276230608
2023-05-03,136.0500030517578,72.66000366210938,7.67139634029402,8.029980276230608
2023-05-04,135.35000610351562,72.66000366210938,7.67139634029402,8.029980276230608
2023-05-05,135.39999389648438,72.66000366210938,7.67139634029402,8.029980276230608
2023-05-08,135.4499969482422,72.66000366210938,7.67139634029402,8.029980276230608
2023-05-09,135.5,72.66000366210938,7.67139634029402,8.029980276230608
2023-05-10,135.6999969482422,72.66000366210938,7.67139634029402,8.029980276230608
2023-05-11,136.60000610351562,72.66000366210938,7.67139634029402,8.029980276230608
2023-05-12,136.8000030517578,72.66000366210938,7.67139634029402,8.029980276230608
2023-05-15,136.0,72.66000366210938,7.67139634029402,8.029980276230608
2023-05-16,136.10000610351562,72.66000366210938,7.67139634029402,8.029980276230608
2023-05-17,136.1999969482422,72.66000366210938,7.67139634029402,8.029980276230608
2023-05-18,136.39999389648438,72.66000366210938,7.67139634029402,8.029980276230608
2023-05-19,136.5500030517578,72.66000366210938,7.67139634029402,8.029980276230608
2023-05-22,136.5,72.66000366210938,7.67139634029402,8.029980276230608
2023-05-23,136.8000030517578,72.66000366210938,7.67139634029402,8.029980276230608
2023-05-24,137.89999389648438,72.66000366210938,7.67139634029402,8.029980276230608
2023-05-25,137.25,72.66000366210938,7.67139634029402,8.029980276230608
2023-05-26,138.14999389648438,72.66000366210938,7.67139634029402,8.029980276230608
2023-05-29,137.35000610351562,72.66000366210938,7.67139634029402,8.029980276230608
2023-05-30,137.4499969482422,72.66000366210938,7.67139634029402,8.029980276230608
2023-05-31,137.5,72.66000366210938,7.67139634029402,8.029980276230608
2023-06-01,137.64999389648438,74.9000015258789,7.67139634029402,8.029980276230608
2023-06-02,135.5449676513672,74.9000015258789,7.67139634029402,8.029980276230608
2023-06-05,137.8000030517578,74.9000015258789,7.67139634029402,8.029980276230608
2023-06-06,137.75999450683594,74.9000015258789,7.67139634029402,8.029980276230608
2023-06-07,137.9499969482422,74.9000015258789,7.67139634029402,8.029980276230608
2023-06-08,138.1999969482422,74.9000015258789,7.67139634029402,8.029980276230608
2023-06-09,139.14999389648438,74.9000015258789,7.67139634029402,8.029980276230608
