Date,fuel_price_usd,inflation_rate,interest_rate,interest_pct_change,fuel_pct_change,inflation_pct_change,interest_roll_7,fuel_roll_7,inflation_roll_7,interest_roll_30,fuel_roll_30,inflation_roll_30,interest_rate_zscore,fuel_price_usd_zscore,inflation_rate_zscore,fuel_price_usd_pct_change,fuel_price_usd_roll_7,fuel_price_usd_roll_30,inflation_rate_pct_change,inflation_rate_roll_7,inflation_rate_roll_30,interest_rate_pct_change,interest_rate_roll_7,interest_rate_roll_30
2008-07-01,123.9800033569336,26.2398166445063,10.612265129175295,0.0,-2.9738577701246327,0.0,11.028789768368007,107.08285740443638,23.88539715675901,,,,0.5676478395538052,1.961517753365776,3.4673778347542177,,,,,,,,,
2008-08-01,114.0500030517578,26.2398166445063,10.612265129175295,0.0,-8.00935637708261,0.0,10.612265129175295,109.96857234409876,26.2398166445063,,,,0.5676478395538052,1.5332753318580568,3.4673778347542177,,,,,,,,,
2008-09-01,98.16999816894533,26.2398166445063,10.612265129175295,0.0,-13.923721576408775,0.0,10.612265129175295,110.82000078473772,26.2398166445063,,,,0.5676478395538052,0.8484322769162143,3.4673778347542177,,,,,,,,,
2008-10-01,65.31999969482422,26.2398166445063,10.612265129175295,0.0,-33.46236027995846,0.0,10.612265129175295,105.85142953055244,26.2398166445063,,,,0.5676478395538052,-0.5682608208423019,3.4673778347542177,,,,,,,,,
2008-11-01,53.4900016784668,26.2398166445063,10.612265129175295,0.0,-18.110835994530472,0.0,10.612265129175295,99.16428647722516,26.2398166445063,,,,0.5676478395538052,-1.0784427786732418,3.4673778347542177,,,,,,,,,
2008-12-01,45.59000015258789,26.2398166445063,10.612265129175295,0.0,-14.769118111766987,0.0,10.612265129175295,89.76857212611607,26.2398166445063,,,,0.5676478395538052,-1.4191392217129952,3.4673778347542177,,,,,,,,,
2009-01-01,45.880001068115234,9.23412592394652,11.7887983557565,11.086541961213104,0.6361064149083662,-64.8087254227067,10.78034130440118,78.06857245309013,23.810432255854906,,,,0.9675700114694576,-1.4066326063566843,0.1959638484914367,,,,,,,,,
2009-04-01,51.959999084472656,9.23412592394652,11.7887983557565,0.0,13.251957006999238,0.0,10.948417479627068,67.78000041416713,21.381047867203502,,,,0.9675700114694576,-1.1444258598040276,0.1959638484914367,,,,,,,,,
2009-05-01,65.5199966430664,9.23412592394652,11.7887983557565,0.0,26.09699345172991,0.0,11.116493654852956,60.84714235578264,18.95166347855211,,,,0.9675700114694576,-0.5596357277126726,0.1959638484914367,,,,,,,,,
2009-06-01,69.30000305175781,9.23412592394652,11.7887983557565,0.0,5.7692408460943145,0.0,11.28456983007884,56.722857339041575,16.52227908990071,,,,0.9675700114694576,-0.3966187037424958,0.1959638484914367,,,,,,,,,
2009-07-01,71.69999694824219,9.23412592394652,11.7887983557565,0.0,3.463194503313227,0.0,11.452646005304729,57.63428551810129,14.092894701249312,,,,0.9675700114694576,-0.2931162700820952,0.1959638484914367,,,,,,,,,
2009-08-01,69.6500015258789,9.23412592394652,11.7887983557565,0.0,-2.8591290231756994,0.0,11.620722180530612,59.94285692487444,11.663510312597918,,,,0.9675700114694576,-0.3815246262525383,0.1959638484914367,,,,,,,,,
2009-09-01,69.06999969482422,9.23412592394652,11.7887983557565,0.0,-0.8327377147855253,0.0,11.7887983557565,63.29714257376535,9.23412592394652,,,,0.9675700114694576,-0.4065378569651605,0.1959638484914367,,,,,,,,,
2009-10-01,75.19999694824219,9.23412592394652,11.7887983557565,0.0,8.875050355440095,0.0,11.7887983557565,67.48571341378349,9.23412592394652,,,,0.9675700114694576,-0.1421748371300966,0.1959638484914367,,,,,,,,,
2009-12-01,77.93000030517578,9.23412592394652,11.7887983557565,0.0,3.630323760268994,0.0,11.7887983557565,71.19571358816964,9.23412592394652,,,,0.9675700114694576,-0.0244403746560043,0.1959638484914367,,,,,,,,,
2010-01-01,71.45999908447266,3.96138889115385,4.226429437253827,-64.14876809568932,-8.302324131100269,-57.10055370935623,10.708459938827543,72.04428536551339,8.480877776404709,,,,-1.6029982771145035,-0.3034664476428927,-0.8183616475091077,,,,,,,,,
2010-02-01,77.58999633789062,3.96138889115385,4.226429437253827,0.0,8.57822184712278,0.0,9.628121521898592,73.22857012067523,7.7276296288629,,,,-1.6029982771145035,-0.0391034278078288,-0.8183616475091077,,,,,,,,,
