Date,fuel_price_usd,inflation_rate,interest_rate
2012-06-01,97.8000030517578,9.37777003547598,13.15686904880464
2012-08-01,114.56999969482422,9.37777003547598,13.15686904880464
2012-09-01,112.38999938964844,9.37777003547598,13.15686904880464
2012-10-01,108.6999969482422,9.37777003547598,13.15686904880464
2012-11-01,111.2300033569336,9.37777003547598,13.15686904880464
2012-12-01,111.11000061035156,9.37777003547598,13.15686904880464
2013-01-01,115.5500030517578,5.71749357037733,6.3357302174610375
2013-02-01,111.37999725341795,5.71749357037733,6.3357302174610375
2013-03-01,110.0199966430664,5.71749357037733,6.3357302174610375
2013-04-01,102.37000274658205,5.71749357037733,6.3357302174610375
2013-05-01,100.38999938964844,5.71749357037733,6.3357302174610375
2013-06-01,102.16000366210938,5.71749357037733,6.3357302174610375
2013-07-01,107.6999969482422,5.71749357037733,6.3357302174610375
2013-08-01,114.01000213623048,5.71749357037733,6.3357302174610375
2013-10-01,108.83999633789062,5.71749357037733,6.3357302174610375
2013-11-01,109.69000244140624,5.71749357037733,6.3357302174610375
2014-01-01,106.4000015258789,6.87815499275949,6.000074639278107
2014-02-01,109.06999969482422,6.87815499275949,6.000074639278107
2014-03-01,107.76000213623048,6.87815499275949,6.000074639278107
2014-04-01,108.06999969482422,6.87815499275949,6.000074639278107
2014-05-01,109.41000366210938,6.87815499275949,6.000074639278107
2014-07-01,106.0199966430664,6.87815499275949,6.000074639278107
2014-08-01,103.19000244140624,6.87815499275949,6.000074639278107
2014-09-01,94.66999816894533,6.87815499275949,6.000074639278107
2014-10-01,85.86000061035156,6.87815499275949,6.000074639278107
2014-11-01,70.1500015258789,6.87815499275949,6.000074639278107
2014-12-01,57.33000183105469,6.87815499275949,6.000074639278107
2015-01-01,52.9900016784668,6.58215429284779,6.017449608387772
2015-04-01,66.77999877929688,6.58215429284779,6.017449608387772
2015-05-01,65.55999755859375,6.58215429284779,6.017449608387772
2015-06-01,63.59000015258789,6.58215429284779,6.017449608387772
2015-07-01,52.209999084472656,6.58215429284779,6.017449608387772
2015-08-01,54.150001525878906,6.58215429284779,6.017449608387772
2015-09-01,48.369998931884766,6.58215429284779,6.017449608387772
2015-10-01,49.560001373291016,6.58215429284779,6.017449608387772
2015-12-01,37.27999877929688,6.58215429284779,6.017449608387772
2016-01-01,34.7400016784668,6.29724953814625,7.346664672554915
2016-02-01,35.970001220703125,6.29724953814625,7.346664672554915
2016-03-01,39.59999847412109,6.29724953814625,7.346664672554915
2016-04-01,48.130001068115234,6.29724953814625,7.346664672554915
2016-06-01,49.68000030517578,6.29724953814625,7.346664672554915
2016-07-01,42.459999084472656,6.29724953814625,7.346664672554915
2016-08-01,47.040000915527344,6.29724953814625,7.346664672554915
2016-09-01,49.060001373291016,6.29724953814625,7.346664672554915
2016-10-01,48.29999923706055,6.29724953814625,7.346664672554915
2016-11-01,50.470001220703125,6.29724953814625,7.346664672554915
2016-12-01,56.130001068115234,6.29724953814625,7.346664672554915
2017-02-01,55.59000015258789,8.00564967709945,9.772320747954616
2017-03-01,52.83000183105469,8.00564967709945,9.772320747954616
2017-04-01,51.72999954223633,8.00564967709945,9.772320747954616
2017-05-01,50.310001373291016,8.00564967709945,9.772320747954616
2017-06-01,47.91999816894531,8.00564967709945,9.772320747954616
